DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,YEAR,MONTH
2018-03-04,4,17.0,2.0,19,14.0,5.0,19,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,39,2018,MAR
2018-03-05,5,12.0,2.0,14,11.0,2.0,13,2.0,0.0,2,2.0,0.0,2,0.0,0.0,0,3.0,3.0,6,14.0,51,2018,MAR
2018-03-06,6,0.0,11.0,11,0.0,10.0,10,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,9.0,9.0,18,0.0,40,2018,MAR
2018-03-07,7,6.0,23.0,29,6.0,22.0,28,0.0,0.0,0,0.0,0.0,0,1.0,3.0,4,9.0,9.0,18,1.0,80,2018,MAR
2018-03-08,8,2.0,10.0,12,3.0,10.0,13,1.0,0.0,1,0.0,1.0,1,0.0,0.0,0,10.0,10.0,20,0.0,47,2018,MAR
2018-03-09,9,1.0,9.0,10,0.0,8.0,8,0.0,1.0,1,0.0,1.0,1,2.0,0.0,2,0.0,0.0,0,0.0,22,2018,MAR
2018-03-10,10,0.0,15.0,15,0.0,17.0,17,0.0,5.0,5,0.0,5.0,5,0.0,1.0,1,0.0,0.0,0,16.0,59,2018,MAR
2018-03-11,11,1.0,19.0,20,0.0,21.0,21,0.0,0.0,0,0.0,0.0,0,2.0,1.0,3,5.0,5.0,10,3.0,57,2018,MAR
2018-03-12,12,2.0,9.0,11,0.0,9.0,9,0.0,0.0,0,0.0,0.0,0,3.0,0.0,3,7.0,8.0,15,0.0,38,2018,MAR
2018-03-13,13,6.0,3.0,9,5.0,6.0,11,1.0,0.0,1,0.0,1.0,1,1.0,0.0,1,9.0,9.0,18,1.0,42,2018,MAR
2018-03-14,14,1.0,28.0,29,0.0,28.0,28,0.0,0.0,0,0.0,0.0,0,2.0,0.0,2,9.0,9.0,18,1.0,78,2018,MAR
