date,airport,station_code,total_flights
2013-12-16,Pafos,15,41.0
2013-12-17,Pafos,15,32.0
2013-12-18,Pafos,15,32.0
2013-12-19,Pafos,15,39.0
2013-12-20,Pafos,15,16.0
2013-12-21,Pafos,15,34.0
2013-12-22,Pafos,15,28.0
2013-12-23,Pafos,15,22.0
2013-12-24,Pafos,15,14.0
2013-12-25,Pafos,15,7.0
2013-12-26,Pafos,15,18.0
2013-12-27,Pafos,15,20.0
2013-12-28,Pafos,15,34.0
2013-12-29,Pafos,15,27.0
2013-12-30,Pafos,15,31.0
2013-12-31,Pafos,15,20.0
2014-01-01,Pafos,15,24.0
2014-01-02,Pafos,15,28.0
2014-01-03,Pafos,15,15.0
2014-01-04,Pafos,15,40.0
2014-01-05,Pafos,15,25.0
2014-01-06,Pafos,15,17.0
2014-01-07,Pafos,15,40.0
2014-01-08,Pafos,15,44.0
2014-01-09,Pafos,15,55.0
2014-01-10,Pafos,15,22.0
2014-01-11,Pafos,15,32.0
2014-01-12,Pafos,15,29.0
2014-01-13,Pafos,15,39.0
2014-01-14,Pafos,15,25.0
2014-01-15,Pafos,15,37.0
2014-01-16,Pafos,15,16.0
2014-01-17,Pafos,15,18.0
2014-01-18,Pafos,15,24.0
2014-01-19,Pafos,15,29.0
2014-01-20,Pafos,15,28.0
2014-01-21,Pafos,15,36.0
2014-01-22,Pafos,15,43.0
2014-01-23,Pafos,15,42.0
2014-01-24,Pafos,15,20.0
2014-01-25,Pafos,15,29.0
2014-01-26,Pafos,15,32.0
2014-01-27,Pafos,15,19.0
2014-01-28,Pafos,15,39.0
2014-01-29,Pafos,15,42.0
2014-01-30,Pafos,15,30.0
2014-01-31,Pafos,15,26.0
2014-02-01,Pafos,15,26.0
2014-02-02,Pafos,15,24.0
2014-02-03,Pafos,15,29.0
2014-02-04,Pafos,15,27.0
2014-02-05,Pafos,15,39.0
2014-02-06,Pafos,15,26.0
2014-02-07,Pafos,15,21.0
2014-02-08,Pafos,15,29.0
2014-02-09,Pafos,15,25.0
